iter,time_ns,pose_x,pose_y,pose_z,err_x,err_y,err_z,Fx,Fy,Fz,tau0,tau1,tau2,iq0,iq1,iq2,Ks_x,env_K,iq_pred,iq_nopred
0,44255000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-3463.028717,0.152740,1586.349640,0.458252,-2274.789673,-2203.225418,2000,2000,2000,10.000000,1.000000,0.000000,0.000000
1,45305000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-2424.398148,0.106964,1111.964325,0.320923,-1592.479279,-1542.619690,2000,2000,2000,10.000000,1.000000,0.000000,0.000000
2,46355000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-1697.359924,0.074921,779.896057,0.224792,-1114.864090,-1080.197693,2000,2000,2000,10.000000,1.000000,2000.000000,2000.000000
3,47405000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-1188.435379,0.052490,547.449280,0.157501,-780.534912,-756.503708,2000,2000,2000,10.000000,1.000000,2000.000000,2000.000000
4,48455000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-832.189758,0.036789,384.737244,0.110397,-546.505524,-529.918915,2000,2000,2000,10.000000,1.000000,2000.000000,2000.000000
5,49505000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-582.818909,0.025803,270.839325,0.077438,-382.685638,-371.310257,2000,2000,2000,10.000000,1.000000,2000.000000,2000.000000
6,50555000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-408.260071,0.018112,191.111130,0.054367,-268.012222,-260.284653,2000,2000,2000,10.000000,1.000000,2000.000000,2000.000000
7,51605000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-286.069412,0.012726,135.301636,0.038208,-187.741180,-182.567078,2000,2000,2000,10.000000,1.000000,2000.000000,2000.000000
8,52655000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-200.536331,0.008957,96.235153,0.026901,-131.551712,-128.165024,2000,2000,2000,10.000000,1.000000,2000.000000,2000.000000
9,53705000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-140.663437,0.006317,68.888733,0.018982,-92.219238,-90.083740,2000,2000,2000,10.000000,1.000000,2000.000000,2000.000000
10,54755000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-98.752594,0.004471,49.746323,0.013443,-64.686646,-63.426971,2000,2000,2000,10.000000,1.000000,2000.000000,2000.000000
11,55805000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-69.415131,0.003189,36.346695,0.009567,-45.413895,-44.767303,2000,2000,2000,10.000000,1.000000,2000.000000,2000.000000
12,56855000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-48.878998,0.002289,26.966995,0.006866,-31.923050,-31.705597,2000,2000,2000,10.000000,1.000000,2000.000000,2000.000000
13,57905000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-34.503769,0.001648,20.401230,0.004944,-22.479492,-22.562454,2000,2000,2000,10.000000,1.000000,2000.000000,2000.000000
14,58955000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-24.441147,0.001205,15.805222,0.003616,-15.869034,-16.162262,2000,2000,2000,10.000000,1.000000,2000.000000,2000.000000
