iter,time_ns,pose_x,pose_y,pose_z,err_x,err_y,err_z,Fx,Fy,Fz,tau0,tau1,tau2,iq0,iq1,iq2,Ks_x,env_K,iq_pred,iq_nopred
0,129055000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2000,-2000,-2000,0.000000,1.000000,0.000000,0.000000
1,130105000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-24243.981476,1.069641,11119.643250,3.209305,-15930.792786,-15432.196838,2000,2000,2000,100.000000,1.000000,0.000000,0.000000
2,131155000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-16973.599243,0.749207,7798.960571,2.248001,-11152.640823,-10805.976883,2000,2000,2000,100.000000,1.000000,3828.571045,2000.000000
3,132205000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-11884.353790,0.524902,5474.492798,1.575089,-7809.349075,-7569.037079,2000,2000,2000,100.000000,1.000000,3828.571045,2000.000000
4,133255000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-8321.897583,0.367889,3847.372437,1.104050,-5467.055099,-5301.189117,2000,2000,2000,100.000000,1.000000,3828.571045,2000.000000
5,134305000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-5828.189087,0.258026,2708.393250,0.774475,-3828.856384,-3715.102432,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
6,135355000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-4082.600708,0.181122,1911.111298,0.543762,-2682.122223,-2604.846527,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
7,136405000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-2860.694122,0.127258,1353.016357,0.382172,-1877.411804,-1825.670776,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
8,137455000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-2005.363312,0.089569,962.351532,0.269104,-1315.517014,-1281.650162,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
9,138505000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-1406.634369,0.063171,688.887329,0.189911,-922.192383,-900.837387,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
10,139555000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-987.525940,0.044708,497.463226,0.134521,-646.866348,-634.269608,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
11,140605000,0.346207,-0.000015,-0.158127,-0.096207,0.000015,0.508133,-694.151306,0.031891,363.466949,0.095810,-454.138916,-447.672943,2000,2000,2000,100.000000,1.000000,2000.000000,2000.000000
