iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
1,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
6,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
11,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
16,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
21,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
26,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
31,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
36,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
41,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
46,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
51,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
56,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
61,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
66,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
71,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
76,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
81,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
86,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
91,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
96,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
101,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
106,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.100098,0.000229,0.000229,0.000061,0.024780,0.024734
111,0.311005,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.088425,0.000229,0.000229,0.000061,0.021896,0.021851
116,0.311020,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,0.089645,0.000229,0.000229,0.000061,0.022202,0.022141
121,0.311035,-0.000046,-0.080978,0.315994,-0.000031,-0.080994,0.092010,0.024033,-0.023499,0.007477,0.016708,0.021393
126,0.311035,-0.000046,-0.080978,0.315994,-0.000031,-0.080994,0.098114,0.004425,-0.004120,0.001373,0.023178,0.023987
131,0.311050,-0.000046,-0.080978,0.315994,-0.000031,-0.080994,0.087357,0.001068,-0.000839,0.000336,0.021347,0.021515
136,0.311050,-0.000046,-0.080978,0.315994,-0.000031,-0.080994,0.097046,0.000534,-0.000305,0.000168,0.023880,0.023941
141,0.311096,-0.000046,-0.080963,0.315994,-0.000031,-0.080994,0.063171,0.000534,-0.024033,0.000168,0.009445,0.014252
146,0.311111,-0.000046,-0.080963,0.315994,-0.000031,-0.080994,0.075455,0.000534,-0.004425,0.000168,0.017502,0.018372
151,0.311111,-0.000046,-0.080963,0.315994,-0.000031,-0.080994,0.093994,0.000534,-0.001144,0.000168,0.022919,0.023148
156,0.311127,-0.000046,-0.080963,0.315994,-0.000031,-0.080994,0.088882,0.000534,-0.000610,0.000168,0.021790,0.021912
161,0.311172,-0.000046,-0.080948,0.315994,-0.000031,-0.080994,0.060425,0.000534,-0.024338,0.000168,0.008682,0.013550
166,0.311172,-0.000046,-0.080948,0.315994,-0.000031,-0.080994,0.090561,0.000534,-0.004730,0.000168,0.021149,0.022095
171,0.311188,-0.000046,-0.080948,0.315994,-0.000031,-0.080994,0.083771,0.000534,-0.001450,0.000168,0.020309,0.020599
176,0.311203,-0.000046,-0.080948,0.315994,-0.000031,-0.080994,0.085831,0.000534,-0.000916,0.000168,0.020950,0.021133
181,0.311234,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.064621,0.000534,-0.024643,0.000168,0.009644,0.014557
186,0.311264,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.056763,0.000534,-0.005035,0.000168,0.012726,0.013733
191,0.311264,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.088348,0.000534,-0.001755,0.000168,0.021362,0.021713
196,0.311295,-0.000046,-0.080917,0.315994,-0.000031,-0.080994,0.076981,0.000534,-0.009537,0.000168,0.016556,0.018463
201,0.311325,-0.000046,-0.080917,0.315994,-0.000031,-0.080994,0.061569,0.000534,-0.002747,0.000168,0.014496,0.015045
206,0.311325,-0.000046,-0.080917,0.315994,-0.000031,-0.080994,0.088120,0.000534,-0.001602,0.000168,0.021347,0.021667
211,0.311340,-0.000046,-0.080917,0.315994,-0.000031,-0.080994,0.080872,0.000534,-0.001526,0.000168,0.019577,0.019882
216,0.311356,-0.000046,-0.080917,0.315994,-0.000031,-0.080994,0.082855,0.000534,-0.001526,0.000168,0.020065,0.020370
221,0.311386,-0.000046,-0.080902,0.315994,-0.000031,-0.080994,0.079422,0.000534,-0.007324,0.000168,0.017731,0.019196
226,0.311401,-0.000046,-0.080902,0.315994,-0.000031,-0.080994,0.073395,0.000534,-0.002670,0.000168,0.017426,0.017960
231,0.311401,-0.000046,-0.080902,0.315994,-0.000031,-0.080994,0.088882,0.000534,-0.001831,0.000168,0.021469,0.021835
236,0.311432,-0.000046,-0.080887,0.315994,-0.000031,-0.080994,0.074768,0.000534,-0.010071,0.000168,0.015869,0.017883
241,0.311462,-0.000046,-0.080887,0.315994,-0.000031,-0.080994,0.058899,0.000534,-0.003357,0.000168,0.013672,0.014343
246,0.311462,-0.000046,-0.080887,0.315994,-0.000031,-0.080994,0.085373,0.000534,-0.002213,0.000168,0.020508,0.020950
251,0.311508,-0.000046,-0.080872,0.315994,-0.000031,-0.080994,0.054550,0.000534,-0.013809,0.000168,0.009918,0.012680
