iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
1,0.310989,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,2.502441,0.001373,0.001373,0.000488,0.618469,0.618164
6,0.311005,-0.000031,-0.080994,0.315994,-0.000031,-0.080994,2.426605,0.001373,0.001373,0.000488,0.599731,0.599426
11,0.311050,-0.000046,-0.080963,0.315994,-0.000031,-0.080994,2.360229,0.149994,-0.188751,0.046753,0.534592,0.572342
16,0.311127,-0.000046,-0.080902,0.315994,-0.000031,-0.080994,2.154999,0.032349,-0.564880,0.010162,0.387421,0.500519
21,0.311264,-0.000046,-0.080872,0.315994,-0.000031,-0.080994,1.617584,0.012207,-0.344391,0.003860,0.311096,0.380096
26,0.311417,-0.000046,-0.080795,0.315994,-0.000031,-0.080994,1.443787,0.009003,-0.621490,0.002869,0.196976,0.321411
31,0.311615,-0.000046,-0.080734,0.315994,-0.000031,-0.080994,1.016846,0.009003,-0.486755,0.002838,0.125992,0.223480
36,0.311813,-0.000046,-0.080627,0.315994,-0.000031,-0.080994,0.892944,0.009003,-0.791931,0.002838,0.016861,0.175400
41,0.312012,-0.000046,-0.080551,0.315994,-0.000031,-0.080994,0.725098,0.009003,-0.690918,0.002838,0.001205,0.139542
46,0.312195,-0.000046,-0.080475,0.315994,-0.000031,-0.080994,0.876617,0.009003,-0.611877,0.002838,0.058701,0.181305
51,0.312363,-0.000046,-0.080414,0.315994,-0.000031,-0.080994,0.879669,0.009003,-0.627289,0.002838,0.055328,0.181046
56,0.312561,-0.000046,-0.080338,0.315994,-0.000031,-0.080994,0.536957,0.009003,-0.866394,0.002838,-0.090866,0.082565
61,0.312714,-0.000046,-0.080276,0.315994,-0.000031,-0.080994,0.749512,0.009003,-0.726624,0.002838,-0.002670,0.142914
66,0.312912,-0.000046,-0.080200,0.315994,-0.000031,-0.080994,0.441132,0.009003,-0.868225,0.002823,-0.115311,0.058472
71,0.313065,-0.000046,-0.080170,0.315994,-0.000031,-0.080994,0.500336,0.009003,-0.679321,0.002838,-0.052139,0.083908
76,0.313263,-0.000046,-0.080078,0.315994,-0.000031,-0.080994,0.017090,0.009003,-1.103668,0.002808,-0.280823,-0.060120
81,0.313416,-0.000046,-0.080048,0.315994,-0.000031,-0.080994,0.210876,0.009003,-0.727081,0.002823,-0.136002,0.009476
86,0.313553,-0.000046,-0.080002,0.315994,-0.000031,-0.080994,0.380707,0.009003,-0.781097,0.002838,-0.108292,0.048065
91,0.313690,-0.000046,-0.079987,0.315994,-0.000031,-0.080994,0.280457,0.009003,-0.619812,0.002823,-0.091354,0.032715
